SQ_CANDIDATO,AA_ELEICAO,cd_cargo,total_receita,total_despesa,saldo_campanha,n_fontes_receita,n_origens_despesa,despesa_adesivos,despesa_impressos,despesa_pessoal,despesa_tv,despesa_radio,razao_despesa_receita,pct_despesa_marketing,is_prefeito,is_vereador,competitividade,qt_candidato,qt_vagas,qt_eleitores,eleitores_por_candidato,municipio_encoded,prefeito_despesa_adesivos,competitividade_marketing,investimento_por_eleitor,investimento_por_idhm,foco_municipios_desenvolvidos,foco_municipios_carentes,foco_urbano,foco_rural,foco_alta_densidade,foco_baixa_escolaridade,infraestrutura_desenvolvida,municipio_rico,eleito,apoio_politico,aquisicoes_bens,comunicacao_correspondencia,diversos,gestao_administrativa,infraestrutura_basica,materiais_graficos_sonoros,midia_propaganda,mobilizacao_humana,pesquisa_eleitoral,idhm,pib_per_capita,habitantes,total_receitas_brutas_ibge,NR_PARTIDO,QT_VOTOS_NOMINAIS_VALIDOS,eleitores,vagas
220000957726,2020.0,13.0,1452.9,0.0,1452.9,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.545454545454543,105.0,11.0,13510.0,128.66666666666666,14,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220000957724,2020.0,13.0,8972.9,2800.0,6172.9,2.0,6.0,70.0,0.0,600.0,0.0,0.0,0.3120507305330495,2.5,0.0,1.0,9.545454545454543,105.0,11.0,13510.0,128.66666666666666,14,0.0,23.86363636363636,0.2072538860103626,1918.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,617.73,1387.27,70.0,150.0,575.0,0.0,0,0,0,0,0,0,10000,10
220000957716,2020.0,13.0,3952.9,2500.0,1452.9,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.632447064180728,0.0,0.0,1.0,9.545454545454543,105.0,11.0,13510.0,128.66666666666666,14,0.0,0.0,0.1850481125092524,1712.5000000000002,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220000957723,2020.0,13.0,3827.9,875.0,2952.9,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2285848637634212,0.0,0.0,1.0,9.545454545454543,105.0,11.0,13510.0,128.66666666666666,14,0.0,0.0,0.0647668393782383,599.375,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,23.78,681.22,170.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220000957720,2020.0,13.0,1452.9,0.0,1452.9,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.545454545454543,105.0,11.0,13510.0,128.66666666666666,14,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220000986037,0.0,0.0,12118.74,11770.74,348.0,2.0,5.0,640.0,1200.0,1045.0,0.0,0.0,0.9712841434010466,15.63198235624948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1045.0,1885.74,1840.0,0.0,7000.0,0.0,0,0,0,0,0,0,10000,10
220000986036,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220000986033,0.0,0.0,18700.0,13990.0,4710.0,2.0,5.0,775.0,3950.0,0.0,0.0,0.0,0.7481283422459893,33.77412437455325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1085.0,0.0,6400.0,0.0,6505.0,0.0,0,0,0,0,0,0,10000,10
220000986035,0.0,0.0,2500.0,1595.9,904.1,1.0,3.0,0.0,500.0,0.0,0.0,0.0,0.63836,31.3302838523717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1095.9,0.0,500.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220000881780,0.0,0.0,2000.0,2000.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0,0,0,0,0,0,10000,10
